cik,accession_nr,filing_date
1466546,95012324010564,2024-11-08
1466546,95012325001670,2025-02-12
1466546,95012325004562,2025-05-12
1475365,121465924007136,2024-04-19
1475365,121465924012656,2024-07-19
1475365,121465924018417,2024-11-05
1475365,121465925001416,2025-01-28
1475365,121465925006359,2025-04-25
1475365,121465925011183,2025-07-31
1488542,146430224000003,2024-07-25
1488542,148854224000013,2024-04-25
1488542,148854224000015,2024-11-08
1488542,148854225000001,2025-02-11
1488542,148854225000007,2025-05-12
1508097,117266124002130,2024-05-10
1508097,117266124003172,2024-08-09
1508097,117266124004606,2024-11-13
1508097,117266125000773,2025-02-13
1508097,117266125001867,2025-05-14
1535323,95012324004712,2024-05-14
1535323,95012324008102,2024-08-13
1535323,95012324011006,2024-11-13
1535323,95012325000820,2025-02-03
1535323,95012325004032,2025-05-05
1535323,95012325006674,2025-07-28
1535588,108514625004202,2025-07-28
1535588,153558824000002,2024-05-09
1535588,153558824000003,2024-08-13
1535588,153558824000005,2024-11-13
1535588,153558825000002,2025-02-10
1535588,153558825000003,2025-05-15
1540235,154023524000003,2024-05-13
1540235,154023524000004,2024-08-15
1540235,154023524000006,2024-10-11
1540235,154023525000002,2025-02-14
1540235,154023525000003,2025-05-15
1546007,154600724000005,2024-07-18
1546007,154600724000010,2024-10-23
1546007,154600725000002,2025-01-14
1546007,154600725000003,2025-04-15
1546007,154600725000005,2025-07-11
1582202,158220224000005,2024-05-07
1582202,158220224000009,2024-08-08
1582202,158220224000011,2024-11-07
1582202,158220225000002,2025-02-10
1582202,158220225000004,2025-05-12
1608046,160804624000004,2024-05-14
1608046,160804624000005,2024-08-13
1608046,160804624000012,2024-10-30
1608046,160804625000001,2025-02-05
1608046,160804625000007,2025-05-13
1632341,106299324009734,2024-05-09
1632341,106299324018191,2024-11-01
1632341,106299324018200,2024-11-01
1632341,106299325001338,2025-01-31
1632341,106299325009007,2025-05-09
1632341,106299325013409,2025-08-01
1632972,121465924012447,2024-07-16
1632972,121465924017874,2024-10-24
1632972,121465925004463,2025-03-17
1632972,121465925005972,2025-04-16
1632972,121465925010232,2025-07-10
1642575,117266124002495,2024-05-15
1642575,117266124003576,2024-08-14
1642575,164257525000002,2025-02-14
1642575,164257525000004,2025-05-15
1642575,164709424000004,2024-11-14
1648711,108383124000013,2024-08-14
1648711,164871124000010,2024-05-14
1648711,164871125000009,2025-02-14
1648711,164871125000019,2025-05-15
1648711,172828024000014,2024-11-14
1666741,108514624002673,2024-05-24
1666741,108514624004173,2024-08-22
1666741,108514624005656,2024-11-13
1666741,108514625001367,2025-02-14
1666741,108514625002658,2025-05-06
1692234,95012324004020,2024-05-08
1692234,95012324007395,2024-08-08
1692234,95012324011064,2024-11-13
1692234,95012325001908,2025-02-13
1692234,95012325004729,2025-05-13
1694217,90514824001395,2024-05-15
1694217,90514824002176,2024-08-14
1694217,90514824003111,2024-11-14
1694217,90514825000602,2025-02-14
1694217,90514825001691,2025-05-15
1697233,106299324010071,2024-05-13
1697233,106299324014831,2024-08-12
1697233,106299324018992,2024-11-13
1697233,106299325002114,2025-02-11
1697233,106299325009131,2025-05-13
1716774,108514624002339,2024-05-09
1716774,108514624003612,2024-08-09
1716774,108514624005149,2024-10-25
1716774,108514625000474,2025-01-24
1716774,108514625003031,2025-05-13
1716774,108514625004143,2025-07-24
1729829,172982924000009,2024-05-14
1729829,172982924000011,2024-08-14
1729829,172982924000013,2024-11-14
1729829,172982925000045,2025-02-14
1729829,172982925000048,2025-05-15
1859606,185960624000004,2024-05-09
1859606,185960624000007,2024-08-14
1859606,185960624000010,2024-11-14
1859606,185960625000012,2025-02-14
1859606,185960625000016,2025-05-15
1890906,189090624000119,2024-04-29
1890906,189090624000133,2024-07-26
1890906,189090624000206,2024-10-18
1890906,189090625000036,2025-01-29
1890906,189090625000077,2025-04-24
1890906,189090625000121,2025-07-25
1897612,189761224001382,2024-08-14
1897612,189761224002015,2024-11-14
1897612,8025524000848,2024-05-15
1897612,8025525000217,2025-02-14
1897612,8025525000283,2025-05-14
1948780,117266124002112,2024-05-09
1948780,117266124003292,2024-08-13
1948780,117266124004574,2024-11-12
1948780,117266125000608,2025-02-10
1948780,117266125001832,2025-05-14
1993888,199388824000008,2024-08-13
1993888,199388824000010,2024-11-12
1993888,199388825000001,2025-02-12
1993888,199388825000007,2025-05-05
1993888,95012324004922,2024-05-14
200217,95012324004973,2024-05-14
200217,95012324008085,2024-08-13
200217,95012324011156,2024-11-13
200217,95012325002054,2025-02-13
200217,95012325005225,2025-05-14
2057170,205717025000003,2025-02-28
2057170,205717025000004,2025-05-06
312272,31227224000011,2024-04-29
312272,31227224000017,2024-07-31
312272,31227224000020,2024-10-18
312272,31227225000002,2025-02-10
312272,31227225000010,2025-05-09
312348,31234824000008,2024-05-14
312348,31234824000023,2024-08-13
312348,31234824000037,2024-11-13
312348,31234825000014,2025-02-12
312348,31234825000021,2025-05-14
315032,31503224000028,2024-05-14
315032,31503224000252,2024-08-12
315032,31503224000261,2024-11-12
315032,31503225000050,2025-02-12
315032,31503225000056,2025-05-13
316011,141588924019578,2024-07-16
316011,141588924024588,2024-10-03
316011,141588925002101,2025-01-27
316011,141588925010777,2025-04-16
316011,141588925019631,2025-07-10
318989,138549524000025,2024-11-13
318989,31506625000949,2025-02-13
318989,31506625001392,2025-05-12
318989,31898924000098,2024-05-13
318989,31898924000131,2024-08-13
350894,104106224000086,2024-05-07
350894,104106224000109,2024-08-13
350894,104106224000165,2024-11-12
350894,104106225000019,2025-02-11
350894,104106225000106,2025-05-14
36104,3610424000039,2024-05-08
36104,3610424000053,2024-08-07
36104,3610424000064,2024-10-28
36104,3610425000007,2025-02-05
36104,3610425000031,2025-05-08
36104,3610425000046,2025-07-24
53417,5341724000054,2024-05-02
53417,5341724000063,2024-08-05
53417,5341724000087,2024-11-08
53417,5341725000022,2025-01-24
53417,5341725000046,2025-05-05
53417,5341725000076,2025-08-01
713676,95012324004308,2024-05-10
713676,95012324007565,2024-08-09
713676,95012324010619,2024-11-08
713676,95012325001129,2025-02-07
713676,95012325004380,2025-05-09
720672,72067224000010,2024-05-14
720672,72067224000012,2024-08-13
720672,72067224000018,2024-11-14
720672,72067225000003,2025-02-13
720672,72067225000006,2025-05-14
748054,108514624002453,2024-05-14
748054,108514624003540,2024-08-07
748054,108514624005525,2024-11-12
748054,108514625000985,2025-02-11
748054,108514625003039,2025-05-13
763212,108514624002444,2024-05-14
763212,108514624003696,2024-08-09
763212,108514624005460,2024-11-08
763212,108514625000946,2025-02-10
763212,108514625002901,2025-05-09
810265,81026524000003,2024-05-07
810265,81026524000004,2024-07-31
810265,81026524000009,2024-10-28
810265,81026525000001,2025-01-31
810265,81026525000005,2025-05-01
813917,141588924013209,2024-05-15
813917,141588924021281,2024-08-14
813917,141588924026858,2024-11-14
813917,141588925004109,2025-02-14
813917,141588925013201,2025-05-15
815917,95012324004951,2024-05-14
815917,95012324008554,2024-08-14
815917,95012324010967,2024-11-12
815917,95012325000990,2025-02-06
815917,95012325005907,2025-05-28
831001,83100124000117,2024-08-12
831001,83100124000148,2024-11-12
831001,83100125000062,2025-02-12
831001,83100125000103,2025-05-12
850529,85052924000007,2024-05-09
850529,85052924000009,2024-08-14
850529,85052924000012,2024-11-12
850529,85052925000002,2025-02-05
850529,85052925000003,2025-05-14
860644,139834424009649,2024-05-15
860644,139834424014684,2024-08-14
860644,139834424020704,2024-11-14
860644,139834425002788,2025-02-14
860644,139834425009476,2025-05-15
869178,93041324001551,2024-04-30
869178,93041324002212,2024-07-31
869178,93041324003070,2024-10-29
869178,93041325000285,2025-01-29
869178,93041325001824,2025-05-15
873630,87363024000002,2024-05-15
873630,87363024000003,2024-08-12
873630,87363024000004,2024-11-14
873630,87363025000001,2025-02-14
873630,87363025000002,2025-05-14
919079,91907924000009,2024-04-30
919079,91907924000011,2024-08-14
919079,91907924000014,2024-11-13
919079,91907925000004,2025-04-23
919079,91907925000007,2025-05-13
919859,106299324009839,2024-05-10
919859,106299324015027,2024-08-14
919859,106299324018990,2024-11-13
919859,106299325002493,2025-02-14
919859,106299325003075,2025-02-20
919859,106299325008369,2025-05-02
919859,106299325008740,2025-05-07
92230,9223024000047,2024-08-21
92230,9223024000094,2024-11-13
92230,9223025000014,2025-01-31
92230,9223025000046,2025-04-29
92230,9223025000119,2025-07-18
926171,92617124000007,2024-05-13
926171,92617124000011,2024-08-02
926171,92617124000022,2024-11-15
926171,92617125000003,2025-02-12
926171,92617125000005,2025-05-12
927337,92733724000010,2024-05-15
927337,92733724000019,2024-08-14
927337,92733724000023,2024-11-14
927337,92733725000009,2025-02-14
927337,92733725000016,2025-05-15
927971,92797124000006,2024-08-14
927971,92797124000013,2024-11-13
927971,92797125000008,2025-02-13
927971,92797125000015,2025-05-13
928047,114544324000149,2024-11-13
928047,114544325000028,2025-02-14
928047,114544325000146,2025-05-15
928047,120677424000562,2024-05-14
928047,120677424000786,2024-08-14
